
 Fermi energy:        -4.2409506421

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
    130      -8.8771      1.00000
    131      -8.8758      1.00000
    132      -8.8481      1.00000
    133      -8.8000      1.00000
    134      -8.7838      1.00000
    135      -8.6210      1.00000
    136      -8.6028      1.00000
    137      -8.5796      1.00000
    138      -8.5383      1.00000
    139      -8.5301      1.00000
    140      -8.5113      1.00000
    141      -8.4765      1.00000
    142      -8.4403      1.00000
    143      -8.3864      1.00000
    144      -8.3844      1.00000
    145      -8.3615      1.00000
    146      -8.3470      1.00000
    147      -8.3073      1.00000
    148      -8.3022      1.00000
    149      -8.2640      1.00000
    150      -8.2430      1.00000
    151      -8.2009      1.00000
    152      -8.1733      1.00000
    153      -8.0717      1.00000
    154      -8.0259      1.00000
    155      -7.9655      1.00000
    156      -7.9260      1.00000
    157      -7.4961      1.00000
    158      -7.4705      1.00000
    159      -7.1736      1.00000
    160      -7.1332      1.00000
    161      -7.1187      1.00000
    162      -7.0569      1.00000
    163      -6.9881      1.00000
    164      -6.9648      1.00000
    165      -6.9392      1.00000
    166      -6.9168      1.00000
    167      -6.9156      1.00000
    168      -6.9040      1.00000
    169      -6.8950      1.00000
    170      -6.8847      1.00000
    171      -6.8750      1.00000
    172      -6.8290      1.00000
    173      -6.8244      1.00000
    174      -6.6895      1.00000
    175      -6.5360      1.00000
    176      -6.5336      1.00000
    177      -6.2896      1.00000
    178      -6.2695      1.00000
    179      -6.2605      1.00000
    180      -6.2512      1.00000
    181      -6.2214      1.00000
    182      -6.0700      1.00000
    183      -5.5294      1.00000
    184      -5.5176      1.00000
    185      -5.5164      1.00000
    186      -5.4914      1.00000
    187      -5.4550      1.00000
    188      -5.3731      1.00000
    189      -5.2531      1.00000
    190      -5.2446      1.00000
    191      -5.2148      1.00000
    192      -5.2119      1.00000
    193      -5.1616      1.00000
    194      -4.7284      1.00000
    195      -4.5216      1.00000
    196      -0.5451      0.00000
    197       0.8848      0.00000
    198       1.1744      0.00000
    199       1.2020      0.00000
    200       1.3584      0.00000
    201       1.3921      0.00000
    202       1.4024      0.00000
    203       1.4629      0.00000
    204       1.5159      0.00000
    205       1.5272      0.00000
    206       1.5378      0.00000
    207       1.5417      0.00000
    208       1.5557      0.00000
    209       1.5714      0.00000
    210       1.5805      0.00000
    211       1.6092      0.00000
    212       1.6112      0.00000
    213       1.6223      0.00000
    214       1.6742      0.00000
    215       1.7193      0.00000
    216       1.8136      0.00000
    217       1.8318      0.00000
    218       1.8568      0.00000
    219       1.9297      0.00000
    220       1.9640      0.00000
    221       1.9667      0.00000
    222       2.2244      0.00000
    223       2.2579      0.00000
    224       2.4181      0.00000
    225       2.4186      0.00000
    226       2.4343      0.00000
    227       2.4403      0.00000
    228       2.4481      0.00000
    229       2.4757      0.00000
    230       2.8240      0.00000
    231       2.8317      0.00000
    232       2.8374      0.00000
    233       2.8393      0.00000
    234       2.8394      0.00000
    235       2.8435      0.00000
    236       2.8708      0.00000
    237       2.8803      0.00000
    238       2.8928      0.00000
    239       2.9036      0.00000
    240       2.9052      0.00000
    241       2.9137      0.00000
    242       2.9577      0.00000
    243       3.0088      0.00000
    244       3.1163      0.00000
    245       3.1305      0.00000
    246       3.1403      0.00000
    247       3.1488      0.00000
    248       3.1533      0.00000
    249       3.1698      0.00000
    250       3.1932      0.00000
    251       3.2101      0.00000
    252       3.2614      0.00000
 Fermi energy:        -4.2409506421

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2996      1.00000
      2     -23.9792      1.00000
      3     -23.8929      1.00000
      4     -23.8694      1.00000
      5     -23.8452      1.00000
      6     -23.8316      1.00000
      7     -23.7598      1.00000
      8     -23.1515      1.00000
      9     -23.0790      1.00000
     10     -23.0771      1.00000
     11     -23.0386      1.00000
     12     -23.0063      1.00000
     13     -22.9721      1.00000
     14     -22.7258      1.00000
     15     -22.7118      1.00000
     16     -22.6998      1.00000
     17     -22.6420      1.00000
     18     -22.6318      1.00000
     19     -22.5571      1.00000
     20     -21.7675      1.00000
     21     -21.7474      1.00000
     22     -21.7182      1.00000
     23     -21.6975      1.00000
     24     -21.6959      1.00000
     25     -21.6877      1.00000
     26     -21.6760      1.00000
     27     -21.6555      1.00000
     28     -21.6447      1.00000
     29     -21.6067      1.00000
     30     -21.5738      1.00000
     31     -21.4674      1.00000
     32     -21.2982      1.00000
     33     -21.2463      1.00000
     34     -21.2421      1.00000
     35     -21.2328      1.00000
     36     -21.1958      1.00000
     37     -21.0387      1.00000
     38     -20.7858      1.00000
     39     -20.7719      1.00000
     40     -20.7706      1.00000
     41     -20.7289      1.00000
     42     -20.6862      1.00000
     43     -20.6487      1.00000
     44     -20.5944      1.00000
     45     -20.5621      1.00000
     46     -20.5596      1.00000
     47     -20.5404      1.00000
     48     -20.3598      1.00000
     49     -18.1337      1.00000
     50     -14.4170      1.00000
     51     -14.4153      1.00000
     52     -14.3815      1.00000
     53     -14.3467      1.00000
     54     -14.3427      1.00000
     55     -14.3241      1.00000
     56     -14.1807      1.00000
     57     -14.1559      1.00000
     58     -14.1389      1.00000
     59     -14.1317      1.00000
     60     -14.1086      1.00000
     61     -13.9654      1.00000
     62     -13.6576      1.00000
     63     -13.5913      1.00000
     64     -13.5844      1.00000
     65     -13.5239      1.00000
     66     -13.5190      1.00000
     67     -13.4495      1.00000
     68     -12.9092      1.00000
     69     -12.9050      1.00000
     70     -12.8961      1.00000
     71     -12.8760      1.00000
     72     -12.8559      1.00000
     73     -12.8365      1.00000
     74     -12.8099      1.00000
     75     -12.7925      1.00000
     76     -12.7596      1.00000
     77     -12.7360      1.00000
     78     -12.6563      1.00000
     79     -12.4748      1.00000
     80     -12.1555      1.00000
     81     -12.1372      1.00000
     82     -12.1182      1.00000
     83     -12.0718      1.00000
     84     -11.9956      1.00000
     85     -11.9744      1.00000
     86     -11.3934      1.00000
     87     -11.3354      1.00000
     88     -11.3109      1.00000
     89     -11.2634      1.00000
     90     -11.2359      1.00000
     91     -11.0904      1.00000
     92     -10.6149      1.00000
     93     -10.5907      1.00000
     94     -10.5608      1.00000
     95     -10.5584      1.00000
     96     -10.5335      1.00000
     97     -10.4980      1.00000
     98     -10.3919      1.00000
     99     -10.1848      1.00000
    100     -10.1709      1.00000
    101     -10.1313      1.00000
    102     -10.1256      1.00000
    103     -10.0970      1.00000
    104     -10.0965      1.00000
    105     -10.0826      1.00000
    106     -10.0741      1.00000
    107     -10.0670      1.00000
    108     -10.0568      1.00000
    109     -10.0362      1.00000
    110     -10.0317      1.00000
    111     -10.0241      1.00000
    112     -10.0162      1.00000
    113     -10.0047      1.00000
    114      -9.9871      1.00000
    115      -9.9835      1.00000
    116      -9.9585      1.00000
    117      -9.9476      1.00000
    118      -9.8504      1.00000
    119      -9.7819      1.00000
    120      -9.7355      1.00000
    121      -9.7225      1.00000
    122      -9.6988      1.00000
    123      -9.3316      1.00000
    124      -9.3228      1.00000
    125      -9.2760      1.00000
    126      -9.1890      1.00000
    127      -9.0487      1.00000
    128      -9.0276      1.00000
    129      -8.9434      1.00000
    130      -8.8771      1.00000
    131      -8.8758      1.00000
    132      -8.8481      1.00000
    133      -8.8000      1.00000
    134      -8.7838      1.00000
    135      -8.6210      1.00000
    136      -8.6028      1.00000
    137      -8.5796      1.00000
    138      -8.5383      1.00000
    139      -8.5301      1.00000
    140      -8.5113      1.00000
    141      -8.4765      1.00000
    142      -8.4403      1.00000
    143      -8.3864      1.00000
    144      -8.3844      1.00000
    145      -8.3615      1.00000
    146      -8.3470      1.00000
    147      -8.3073      1.00000
    148      -8.3022      1.00000
    149      -8.2640      1.00000
    150      -8.2430      1.00000
    151      -8.2009      1.00000
    152      -8.1733      1.00000
    153      -8.0717      1.00000
    154      -8.0259      1.00000
    155      -7.9655      1.00000
    156      -7.9260      1.00000
    157      -7.4961      1.00000
    158      -7.4705      1.00000
    159      -7.1736      1.00000
    160      -7.1332      1.00000
    161      -7.1187      1.00000
    162      -7.0569      1.00000
    163      -6.9881      1.00000
    164      -6.9648      1.00000
    165      -6.9392      1.00000
    166      -6.9168      1.00000
    167      -6.9156      1.00000
    168      -6.9040      1.00000
    169      -6.8950      1.00000
    170      -6.8847      1.00000
    171      -6.8750      1.00000
    172      -6.8290      1.00000
    173      -6.8244      1.00000
    174      -6.6895      1.00000
    175      -6.5360      1.00000
    176      -6.5336      1.00000
    177      -6.2896      1.00000
    178      -6.2695      1.00000
    179      -6.2605      1.00000
    180      -6.2512      1.00000
    181      -6.2214      1.00000
    182      -6.0700      1.00000
    183      -5.5294      1.00000
    184      -5.5176      1.00000
    185      -5.5164      1.00000
    186      -5.4914      1.00000
    187      -5.4550      1.00000
    188      -5.3731      1.00000
    189      -5.2531      1.00000
    190      -5.2446      1.00000
    191      -5.2148      1.00000
    192      -5.2119      1.00000
    193      -5.1616      1.00000
    194      -4.7284      1.00000
    195      -4.5216      1.00000
    196      -0.5451      0.00000
    197       0.8848      0.00000
    198       1.1744      0.00000
    199       1.2020      0.00000
    200       1.3584      0.00000
    201       1.3921      0.00000
    202       1.4024      0.00000
    203       1.4629      0.00000
    204       1.5159      0.00000
    205       1.5272      0.00000
    206       1.5378      0.00000
    207       1.5417      0.00000
    208       1.5557      0.00000
    209       1.5714      0.00000
    210       1.5805      0.00000
    211       1.6092      0.00000
    212       1.6112      0.00000
    213       1.6223      0.00000
    214       1.6742      0.00000
    215       1.7193      0.00000
    216       1.8136      0.00000
    217       1.8318      0.00000
    218       1.8568      0.00000
    219       1.9297      0.00000
    220       1.9640      0.00000
    221       1.9667      0.00000
    222       2.2244      0.00000
    223       2.2579      0.00000
    224       2.4181      0.00000
    225       2.4186      0.00000
    226       2.4343      0.00000
    227       2.4403      0.00000
    228       2.4481      0.00000
    229       2.4757      0.00000
    230       2.8240      0.00000
    231       2.8317      0.00000
    232       2.8374      0.00000
    233       2.8393      0.00000
    234       2.8394      0.00000
    235       2.8435      0.00000
    236       2.8708      0.00000
    237       2.8803      0.00000
    238       2.8928      0.00000
    239       2.9036      0.00000
    240       2.9052      0.00000
    241       2.9137      0.00000
    242       2.9577      0.00000
    243       3.0088      0.00000
    244       3.1163      0.00000
    245       3.1305      0.00000
    246       3.1403      0.00000
    247       3.1488      0.00000
    248       3.1533      0.00000
    249       3.1698      0.00000
    250       3.1932      0.00000
    251       3.2101      0.00000
    252       3.2614      0.00000

